X,Y,ENFORCEMENT_SPACE_CODE,SITE_CODE,ENFORCEMENT_TYPE,LOCATION_DESCRIPTION,SPEED_LIMIT,DEVICE_MOBILITY,CAMERA_STATUS,ACTIVE_STATUS,CAMERA_LATITUDE,CAMERA_LONGITUDE,CAMERA_EASTING,CAMERA_NORTHING,WARD,ANC,SMD,OBJECTID,GLOBALID
-8575168.59616229,4709486.18865271,ATE 0579,1126,Speed,1800 BLK 14TH ST NW S/B,25,,Live,Active,38.91488,-77.03205,397220.62576198,138556.72762397,2.0,2F,2F01,127721,{39A63775-CFDC-6356-E063-782F520A029D}
-8574049.83527211,4708810.92331761,ATE 0580,1212,Speed,1500 BLK 7TH ST NW N/B,25,,Live,Active,38.91016,-77.022,398092.09325607,138032.51067821,2.0,2G,2G02,127722,{39A63775-CFDD-6356-E063-782F520A029D}
-8574049.83532995,4708883.88417598,ATE 0581,1213,Speed,1500 BLK 7TH ST NW S/B,25,,Live,Active,38.91067,-77.022,398092.106901,138089.12485967,2.0,2G,2G02,127723,{39A63775-CFDE-6356-E063-782F520A029D}
-8579534.54670352,4717660.17616143,ATE 0582,1422,Speed,6200 BLK WESTERN AVE NW NE/B,25,,Live,Active,38.97199,-77.07127,393824.19193925,144898.36850257,3.0,3/,3/4G04,127724,{39A63775-CFDF-6356-E063-782F520A029D}
-8566374.35644533,4702362.39767603,ATE 0584,1760,Speed,3700 BLK ALABAMA AVE SE SW/B,25,,Live,Active,38.86507,-76.95305,404074.80360952,133027.98886361,7.0,7B,7B02,127725,{39A63775-CFE0-6356-E063-782F520A029D}
-8576766.03089051,4709447.56004842,ATE 0585,2209,Red Light,CONNECTICUT AVE S/B @ FLORIDA AVE NW,25,,Live,Active,38.91461,-77.0464,395976.09609107,138527.29016187,2.0,2D,2D02,127726,{39A63775-CFE1-6356-E063-782F520A029D}
-8569264.21037776,4708376.03043738,ATE 0586,2509,Red Light,BLADENSBURG RD S/B @ 17TH ST NE,30,,Live,Active,38.90712,-76.97901,401820.75766385,137695.02515356,5.0,5D,5D08,127727,{39A63775-CFE2-6356-E063-782F520A029D}
-8570602.27069459,4704205.43734104,ATE 0588,2802,Red Light,SOUTHEAST BLVD W/B @ 11TH ST SE,30,,Live,Active,38.87796,-76.99103,400778.51870167,134457.86529301,6.0,6B,6B08,127728,{39A63775-CFE3-6356-E063-782F520A029D}
-8573737.02760462,4707529.187098,ATE 0589,1210,Speed,500 BLK MASSACHUSETTS AVE NW E/B,25,,Live,Active,38.9012,-77.01919,398335.59963722,137037.82307452,2.0,2C,2C01,127729,{39A63775-CFE4-6356-E063-782F520A029D}
-8574698.82795082,4715254.95755137,ATE 0590,1420,Speed,5400 BLK GEORGIA AVE NW N/B,25,,Live,Active,38.95519,-77.02783,397587.97268229,143031.36859223,4.0,4D,4D03,127730,{39A63775-CFE5-6356-E063-782F520A029D}
