Arrestee Type,Arrest Year,Arrest Date,Arrest Hour,CCN,Arrest Number#,Age,Defendant PSA,Defendant District,Defendant Race,Defendant Ethnicity,Defendant Sex,Arrest Category,Charge Description,Arrest Location PSA,Arrest Location District,Arrest Block GEOX,Arrest Block GEOY,Arrest Latitude,Arrest Longitude,Offense Location PSA,Offense Location District,Offense Block GEOX,Offense Block GEOY,Offense Latitude,Offense Longitude
Adult,2024,1/1/2024,21,289c309922d3a3c74247384daecd3e04e37ae877,f3885ed30a83c4720e52278ae5dee9fb2ca1d182,61,708,7D,BLACK,UNKNOWN,MALE,Simple Assault,Simple Assault,708,7D,399200,128000,38.82,-77.01,708,7D,399200,128000,38.82,-77.01
Adult,2024,1/1/2024,18,db82021dedb0047cfa7a1b95097d1befc4fec1c6,7bb4564d4b8aa4bd2fc2a5f618deca3e5d9d0e87,57,608,6D,BLACK,NOT HISPANIC,MALE,Aggravated Assault,Felony Strangulation,308,3D,399100,137900,38.909,-77.01,308,3D,399100,137900,38.909,-77.01
Adult,2024,1/1/2024,23,cc183c1cd313b8fcd326d481c6fd9f5bcd209bb4,594c84cf04afa026f87b3c2a65ed39929954ea6c,56,704,7D,BLACK,NOT HISPANIC,MALE,Release Violations,Fugitive From Justice,607,6D,402400,133900,38.873,-76.972,607,6D,402400,133900,38.873,-76.972
Adult,2024,1/1/2024,0,c133a1ee987da0c944b9a0ce0d32dac262d48935,36ef4928fe68e21be29852db923828d787112f1b,53,702,7D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carry Pistol W/o Lic -outside Home/business,702,7D,403100,131500,38.851,-76.964,702,7D,403100,131500,38.851,-76.964
Adult,2024,1/1/2024,23,6e21dc2b4d4163f2fa5af98e7098bba7df55b88a,1651f1990e77dbb0e667e5f77a909c81867db7f0,51,,,BLACK,NOT HISPANIC,MALE,Release Violations,Failure To Appear (OAG),105,1D,398800,133800,38.872,-77.014,Unk,Unk,398800,133800,38.872,-77.014
Adult,2024,1/1/2024,15,aeef333f19390d743d38c4672d04b912777888cd,bb5689f93b1957a8ad1651204ed8b90b7843a07b,49,704,7D,BLACK,UNKNOWN,MALE,Theft,Theft Second Degree (all Other Larceny),302,3D,397100,140200,38.929,-77.033,302,3D,397100,140200,38.929,-77.033
Adult,2024,1/1/2024,17,e29e8bb3aae8e9dc45e600d8756025e95becf93f,c786682e350a937653abf562871b367b834446ec,49,,,OTHER,UNKNOWN,MALE,Driving/Boating While Intoxicated,Driving Under The Influence Of Alcohol Or Drugs,403,4D,396700,143400,38.959,-77.038,403,4D,396700,143400,38.959,-77.038
Adult,2024,1/1/2024,0,22c825da2cc200e9adc0c1736d96aa02e6dd3359,f36714135a6930245f85869e61e290221d6fecf0,48,,,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,704,7D,401900,131200,38.848,-76.978,704,7D,401900,131200,38.848,-76.978
Adult,2024,1/1/2024,1,7c3d09e5dd05f9a67eaa21f320c622cfedd72e3e,fcdbd209ca2e894b9f03f5d542cf5ca804194565,46,503,5D,BLACK,UNKNOWN,FEMALE,Damage to Property,Destruction Of Property - Misd,503,5D,404000,139600,38.924,-76.954,503,5D,404000,139600,38.924,-76.954
Adult,2024,1/1/2024,10,d207745a2e74dba5eb725ba30641bc802b08026b,ed9d0565a902144cc19fd38352402ef9dcb24532,45,501,5D,BLACK,NOT HISPANIC,MALE,Damage to Property,Destruction Of Motor Vehicles Or Motor Vehicle Fac,506,5D,401200,137200,38.903,-76.986,506,5D,401200,137200,38.903,-76.986
Adult,2024,1/1/2024,1,2df365b1059f43080d12795141a4bf8b1bbf0c49,79226c00f9137012a75d7d0b595f4da61db8e2d8,44,705,7D,BLACK,NOT HISPANIC,MALE,Simple Assault,Threats To Do Bodily Harm -misd,702,7D,402600,131700,38.853,-76.97,705,7D,401000,130600,38.843,-76.988
Adult,2024,1/1/2024,14,629e34e83706ef61262161ba1bc6513e486db66d,0c9cb0ecf47891bb0dc10f796df3eda721d5b95d,44,,,BLACK,NOT HISPANIC,FEMALE,Theft,Theft Second Degree (all Other Larceny),301,3D,397200,138800,38.917,-77.032,305,3D,397300,138700,38.916,-77.032
Adult,2024,1/1/2024,4,42f554d9354db6e74ac81f7ad0bb9d7c897c2f37,6f41a91aa5a477c91a0d21615184457e36368b91,41,603,6D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,506,5D,401200,137900,38.909,-76.986,506,5D,401200,137900,38.909,-76.986
Adult,2024,1/1/2024,18,80f8675d0aa2174cf1f4d88467d7774c737b360b,6e83f7cf178f9e3533672bbdd517242fd0ddd826,41,603,6D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,106,1D,400000,134300,38.876,-77,106,1D,400000,134300,38.876,-77
Adult,2024,1/1/2024,21,5d246d010464507aad88023991c00d1166f4b9cb,a1f69a05e15f5e66303ff889f68ea751db59a09d,41,503,5D,BLACK,NOT HISPANIC,MALE,Simple Assault,Threats To Do Bodily Harm -misd,503,5D,403800,139600,38.924,-76.956,503,5D,403800,139600,38.924,-76.956
Adult,2024,1/1/2024,8,d60cdbcd2f8617267d2ef0c3067cd901111fc604,489ecaf6bc78d11c084021cfa34201051168364c,40,101,1D,BLACK,UNKNOWN,MALE,Weapon Violations,Possession Of Unregistered Ammunition,502,5D,399700,138400,38.913,-77.003,502,5D,399700,138400,38.913,-77.003
Adult,2024,1/1/2024,10,f4f7b406e4b57c493dc72786b8f02375fead985f,db6cb581db0c1a39ebd8eba05b9793ebf0f684f2,37,404,4D,BLACK,NOT HISPANIC,MALE,Theft,Theft Second Degree (all Other Larceny),408,4D,397100,140700,38.935,-77.033,404,4D,397000,141100,38.938,-77.034
Adult,2024,1/1/2024,12,957570a578139dcc45e3ada407800a6b519c8207,fb4cde6fe5c60189f41b223c648abd4ee8a9362e,36,703,7D,WHITE,HISPANIC,MALE,Simple Assault,Threats To Do Bodily Harm -misd,703,7D,400300,132300,38.859,-76.996,703,7D,400300,132300,38.859,-76.996
Adult,2024,1/1/2024,6,5a206c7c0c2c4b2c0d3bed8b5bc9c2591287d685,f6c89a074d0f404005353865e377730a2ba600b6,35,401,4D,OTHER,HISPANIC,MALE,Simple Assault,Simple Assault,401,4D,397700,145900,38.981,-77.027,401,4D,397700,145700,38.98,-77.027
Adult,2024,1/1/2024,1,e910d644766164825b3390418ef820d5b10a8d61,6053cb28b53fb96f659ab1631c6eecc5bfc6d52f,35,603,6D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,104,1D,400400,136900,38.9,-76.995,104,1D,400400,136900,38.9,-76.995
Adult,2024,1/1/2024,0,0e414c9cf30c20abede04f145e4b5748ba343526,a097ae6e9b0cd87753eaae55b30ec8c984b74437,34,,,WHITE,UNKNOWN,MALE,Aggravated Assault,Felony Strangulation,209,2D,397300,136500,38.896,-77.031,209,2D,397300,136500,38.896,-77.031
Adult,2024,1/1/2024,0,9de34ceb3566d1a9c23c83f5cd2db098805a5c66,55ecbf0384937ba966b494120a71448ca8aeb872,34,501,5D,BLACK,NOT HISPANIC,MALE,Narcotics,Poss W/i To Dist A Controlled Substance,606,6D,402900,132500,38.86,-76.967,606,6D,402900,132500,38.86,-76.967
Adult,2024,1/1/2024,4,6bf5d87ad9033da24dd09abf11b7233c76e4cfee,391e8f87dda7e2aa8b4a7bc98257097175d0d54f,33,702,7D,BLACK,NOT HISPANIC,FEMALE,Simple Assault,Simple Assault,506,5D,401100,137700,38.907,-76.987,506,5D,401100,137700,38.907,-76.987
Adult,2024,1/1/2024,2,ddccb79c8eb2d6967e1747662b0d19438f25b890,73ddd86a23d0bcfc0a62c4ad61ddbb6ccd27b4c9,33,706,7D,BLACK,NOT HISPANIC,FEMALE,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,706,7D,400500,129800,38.836,-76.994,706,7D,400500,129800,38.836,-76.994
Adult,2024,1/1/2024,2,9e6507ab19c91b53db28de0e60ba6693007661f0,8136d47c49079cc26c01e29685173077dc26c178,31,704,7D,BLACK,NOT HISPANIC,FEMALE,Driving/Boating While Intoxicated,Driving Under The Influence Of Alcohol Or Drugs,708,7D,399300,129300,38.831,-77.008,708,7D,399300,129300,38.831,-77.008
Adult,2024,1/1/2024,8,d60cdbcd2f8617267d2ef0c3067cd901111fc604,26427ebacee0d9155ac4226efe130df904129509,31,601,6D,BLACK,NOT HISPANIC,FEMALE,Weapon Violations,Possession Of Unregistered Firearm/unlawful Possession Of A Firearm Or Destructive Device,502,5D,399700,138400,38.913,-77.003,502,5D,399700,138400,38.913,-77.003
Adult,2024,1/1/2024,1,96c541ae0e67601e51e55ba3465e5efd360236f9,b52e3d3bca9a498438e65a6fccecd4c996bdd47e,30,702,7D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carry Pistol W/o Lic -outside Home/business,701,7D,402400,132700,38.862,-76.973,701,7D,402400,132700,38.862,-76.973
Adult,2024,1/1/2024,11,c0683ec8f93e0f600e1169516958db55d5f07fff,de5e0351d6e441c7c5a2f2189b52fff2bb10a9ab,30,608,6D,BLACK,NOT HISPANIC,MALE,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,107,1D,402000,135100,38.883,-76.976,107,1D,402000,135100,38.883,-76.976
Adult,2024,1/1/2024,1,37fb7b8d67519b1c4218d8b26f8f1bf1d514ed77,f1c75019a5667ab0dd7731756323cf1a3e8bf6b4,30,604,6D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,605,6D,405200,135000,38.883,-76.94,605,6D,405200,135000,38.883,-76.94
Adult,2024,1/1/2024,23,b93b2e406b83ee704eaebb7a4e6a202828add0f4,dfa737d53dc3205e37d56f320c44a90e7e08ac95,29,,,BLACK,NOT HISPANIC,FEMALE,Theft,Theft Second Degree (all Other Larceny),305,3D,397900,138700,38.916,-77.024,305,3D,397900,138700,38.916,-77.024
Adult,2024,1/1/2024,2,08cbacb6c97efec0ecf31b9045f11215a30bd42c,f15509e972bb367639dbef28b4c1fe3b5a2aade0,29,,,BLACK,UNKNOWN,FEMALE,Simple Assault,Simple Assault,303,3D,396400,139400,38.923,-77.042,303,3D,396400,139400,38.923,-77.042
Adult,2024,1/1/2024,23,bfb331751671fb324fa61405bc6b857b0b0fa5f3,019d95d10cb49345500ca8550d77cb66004047bb,29,,,BLACK,UNKNOWN,FEMALE,Simple Assault,Simple Assault,704,7D,401600,131000,38.847,-76.982,704,7D,401600,131000,38.847,-76.982
Adult,2024,1/1/2024,12,cb6b0aeb24cc18ca4d67efd76e2589ee21d2071d,0185f56d2f770e70bd05457d81a3f4cc8fa1628c,28,,,BLACK,NOT HISPANIC,MALE,Theft,Theft Second Degree (all Other Larceny),505,5D,400400,139200,38.921,-76.995,505,5D,400400,139200,38.921,-76.995
Adult,2024,1/1/2024,8,6a799b3c0e354ec7af0a544c599f6f56e30f1819,3d354ea6600658ff15346339c64a53ad96f08a38,28,,,WHITE,HISPANIC,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,,,398100,137500,38.906,-77.022,308,3D,398100,137500,38.906,-77.022
Adult,2024,1/1/2024,1,7594130008273eeaf774b471193f637e6f57268d,8f84d316cdc78cb34c397ce3aaed7765e5842225,27,507,5D,BLACK,NOT HISPANIC,MALE,Liquor Law Violations,Possession Of An Open Container Of Alcohol (poca),607,6D,402600,133900,38.873,-76.971,607,6D,402600,133900,38.873,-76.971
Adult,2024,1/1/2024,2,d5211deba7f3513fee76ff36d5d382246efbda8c,a8dad83e71f565d9d4edf71106795fe5efa62725,27,,,WHITE,NOT HISPANIC,MALE,Driving/Boating While Intoxicated,Driving Under The Influence Of Alcohol Or Drugs,209,2D,397400,136300,38.895,-77.03,209,2D,397400,136300,38.895,-77.03
Adult,2024,1/1/2024,5,0486477d865ead251d4eae6688de0a5886cbad19,bc9a0650d543623858a2b0ca18f6bef74d1e997f,26,604,6D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,605,6D,405200,135000,38.883,-76.94,605,6D,405200,135000,38.883,-76.94
Adult,2024,1/1/2024,5,0486477d865ead251d4eae6688de0a5886cbad19,db017fffc61b13306abaa227275a10e47fc40e7e,26,,,BLACK,UNKNOWN,FEMALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,605,6D,405200,135000,38.883,-76.94,605,6D,405200,135000,38.883,-76.94
Adult,2024,1/1/2024,2,9e6507ab19c91b53db28de0e60ba6693007661f0,77ceebf32dfd3a73d351fae9722497fd782a54a4,26,602,6D,BLACK,NOT HISPANIC,MALE,Traffic Violations,Reckless Driving,708,7D,399300,129300,38.831,-77.008,708,7D,399300,129300,38.831,-77.008
Adult,2024,1/1/2024,11,a40b28259cd8c988c38098d782780d683f8c7433,8f95f2c5f99db3e1f93041e422b153f858b33262,25,304,3D,BLACK,NOT HISPANIC,MALE,Other Crimes,Unlawful Entry,409,4D,398000,140100,38.929,-77.023,409,4D,398000,140100,38.929,-77.023
Adult,2024,1/1/2024,7,0486477d865ead251d4eae6688de0a5886cbad19,b6f1e5be6aa635b798869a2b7f36083335c37cc0,25,605,6D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,605,6D,405200,135000,38.883,-76.94,605,6D,405200,135000,38.883,-76.94
Adult,2024,1/1/2024,3,7cd39f5bb7d2108dc6222fe7e124b4a2b440de87,ca1f0a940b91da487b6189c2e589b7838f872635,25,608,6D,BLACK,NOT HISPANIC,MALE,Driving/Boating While Intoxicated,Driving Under The Influence Of Alcohol Or Drugs,703,7D,400200,132700,38.862,-76.998,703,7D,400200,132700,38.862,-76.998
Adult,2024,1/1/2024,23,63594da051584469e2868a739e3b1320faa7f2eb,eceec2f3ecdea574e687bf0975c3d7131801d52e,24,603,6D,BLACK,NOT HISPANIC,FEMALE,Damage to Property,Destruction Of Property - Misd,601,6D,404300,137700,38.907,-76.951,601,6D,404300,137700,38.907,-76.951
Adult,2024,1/1/2024,3,b4e52eb7a0481fce84402bb6ba2299298687fa2d,15c89ea0cc3f1997b1a3e30332c33a8676850b99,24,308,3D,UNKNOWN,NOT HISPANIC,MALE,Simple Assault,Simple Assault,503,5D,402400,139100,38.92,-76.972,503,5D,402400,139100,38.92,-76.972
Adult,2024,1/1/2024,1,37fb7b8d67519b1c4218d8b26f8f1bf1d514ed77,d3b5ee5a3e545cd7763069421173ad77f9667b1d,24,604,6D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,605,6D,405200,135000,38.883,-76.94,605,6D,405200,135000,38.883,-76.94
Adult,2024,1/1/2024,7,0486477d865ead251d4eae6688de0a5886cbad19,00b71ce075fb345c4825db7303144f29dbdb7ec3,24,605,6D,BLACK,UNKNOWN,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,605,6D,405200,135000,38.883,-76.94,605,6D,405200,135000,38.883,-76.94
Adult,2024,1/1/2024,7,0486477d865ead251d4eae6688de0a5886cbad19,74b01c0fd195f01d0381843a92da42748167dac0,23,603,6D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,605,6D,405200,135000,38.883,-76.94,605,6D,405200,135000,38.883,-76.94
Adult,2024,1/1/2024,1,6e6fb811fc4417207012188a7668d2cb87f6ac13,3ef76e0ae164614e090d203bad5f97281a493102,23,,,WHITE,UNKNOWN,MALE,Driving/Boating While Intoxicated,Driving Under The Influence Of Alcohol Or Drugs,,,396200,138000,38.91,-77.043,208,2D,396200,137900,38.91,-77.043
Adult,2024,1/1/2024,5,0486477d865ead251d4eae6688de0a5886cbad19,16b53c2cdab07a78650d0105342028e2646d0bd4,23,604,6D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,605,6D,405200,135000,38.883,-76.94,605,6D,405200,135000,38.883,-76.94
Adult,2024,1/1/2024,0,e31c0f08e8e2ad0c1d1c26d43f3d1c4691e0fcc3,2d57a90c5cb46c93728c982545f1b37ab879260f,23,,,BLACK,NOT HISPANIC,FEMALE,Simple Assault,Simple Assault,207,2D,397200,137100,38.902,-77.032,207,2D,397200,137100,38.902,-77.032
Adult,2024,1/1/2024,1,bc7e037d816a2d41c808f82adc446571b0a647dc,0bdfa2a6feacc8060ddc1228955a94f68ac2ec56,22,,,BLACK,UNKNOWN,MALE,Simple Assault,Simple Assault,708,7D,399900,128200,38.822,-77.001,708,7D,399900,128400,38.823,-77.001
Adult,2024,1/1/2024,4,6bf5d87ad9033da24dd09abf11b7233c76e4cfee,277734acdc3dc82bcbc5e086999725c0664ff2a1,22,506,5D,BLACK,UNKNOWN,MALE,Simple Assault,Simple Assault,506,5D,401100,137700,38.907,-76.987,506,5D,401100,137700,38.907,-76.987
Adult,2024,1/1/2024,15,a40da71c7154b72990f700281bc164fae59c9e09,ac13cc2fc1f7a49a2ff8949696210158ca62badb,22,405,4D,WHITE,HISPANIC,MALE,Simple Assault,Simple Assault,405,4D,,,38.95,-76.997,405,4D,,,38.95,-76.997
Adult,2024,1/1/2024,5,0486477d865ead251d4eae6688de0a5886cbad19,a6e49485f15c124b875867742c4181f5e5df855e,21,605,6D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,605,6D,405200,135000,38.883,-76.94,605,6D,405200,135000,38.883,-76.94
Adult,2024,1/1/2024,0,4abd06f4308816d736290d31c858dea0ab63053e,2b2ceecde99337c2be9ff2408c9a6f2ce0df8b99,21,601,6D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Unlawful Discharge Of A Firearm,604,6D,406100,134800,38.881,-76.929,604,6D,406100,134800,38.881,-76.929
Adult,2024,1/1/2024,2,98256f119b210609cb7a48081ca201dbaa9603c6,e3af941fa5c3e6e2a19ef5a1bdf3580bd2a33344,21,,,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carry Pistol W/o Lic -outside Home/business,305,3D,397700,138800,38.917,-77.027,305,3D,397600,138700,38.916,-77.027
Adult,2024,1/2/2024,14,407c2d5af991a30d4deee5a95af41b2971c8d869,dead296819ca4a81a5360cf57730b576fc65e85e,61,,,BLACK,NOT HISPANIC,MALE,Release Violations,Contempt - Misdemeanor,305,3D,397200,138800,38.917,-77.032,Unk,Unk,397200,138800,38.917,-77.032
Adult,2024,1/2/2024,19,d31b3b215b18609e36c9baa7222601bc683b95e6,88106132f866c36d1404263a2340fbcd944cb4ae,53,,,BLACK,NOT HISPANIC,MALE,Release Violations,Failure To Appear (USAO),305,3D,398000,138800,38.917,-77.023,305,3D,398000,138800,38.917,-77.023
Adult,2024,1/2/2024,16,5b7fe07aa6045a1cc1234a12fab1ab403e2a2ccb,b28994daa50473e6b1da249404012037576e6877,48,603,6D,BLACK,NOT HISPANIC,MALE,Release Violations,Fugitive From Justice,507,5D,401700,136800,38.899,-76.98,507,5D,401700,136800,38.899,-76.98
Adult,2024,1/2/2024,0,d0e1509556dd337e5c5b00b42c8a00ab09bef495,cae7615af1d6e7da94ea237b8c3e29b083ae2949,46,706,7D,BLACK,NOT HISPANIC,FEMALE,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,704,7D,402400,130700,38.844,-76.973,704,7D,402400,130700,38.844,-76.973
Adult,2024,1/2/2024,17,9441c697a78ce8b0317fa7f0d99399bd79cfa805,fd39486f24fd79211afbc5ba760f1fc6a1c44332,46,,,BLACK,NOT HISPANIC,MALE,Theft,Theft Second Degree (all Other Larceny),209,2D,397500,136700,38.899,-77.028,209,2D,397500,136700,38.899,-77.028
Adult,2024,1/2/2024,18,08642aa77580811c0b7cee01521187658e4db74b,ea7f5186be905c3c3bf0c54350ce5a999396cfe2,44,505,5D,BLACK,UNKNOWN,MALE,Simple Assault,Simple Assault,402,4D,397000,144300,38.967,-77.034,402,4D,397000,144300,38.967,-77.034
Adult,2024,1/2/2024,19,b1b0b88956f1eda44be578b09823fab2efa2963d,55c24d63ccc5792a70a179f6254359c231ad806c,42,,,BLACK,UNKNOWN,MALE,Liquor Law Violations,Possession Of An Open Container Of Alcohol (poca),101,1D,398400,137100,38.901,-77.019,101,1D,398400,137100,38.901,-77.019
Adult,2024,1/2/2024,20,b75049850e8d1fc8aa394a63c3af5c55274aae51,bdbd06bf50ce3ae59844243d6f96cbc168a9f7d3,41,407,4D,BLACK,NOT HISPANIC,FEMALE,Simple Assault,Simple Assault,407,4D,398400,142000,38.946,-77.018,407,4D,398400,142000,38.946,-77.018
Adult,2024,1/2/2024,19,e524b5f48ca99dbd9392c77510a83f501acba713,2a323c4b8c66080a4f867ae816d41f41ebebb1aa,41,301,3D,WHITE,NOT HISPANIC,MALE,Simple Assault,Simple Assault,307,3D,397900,138300,38.913,-77.024,307,3D,397900,138300,38.913,-77.024
Adult,2024,1/2/2024,18,af2b32eb49147ae2e68e77d98c77cbe8e00c3c10,765b2e7f7b2e7b8c22f1969c9261c3c573366312,37,705,7D,BLACK,NOT HISPANIC,FEMALE,Simple Assault,Simple Assault,705,7D,401200,130600,38.843,-76.986,705,7D,401200,130600,38.843,-76.986
Adult,2024,1/2/2024,16,2587a033b19730becc20365616d491b135446f28,3d421f7f905672f1ebf09b3144c71bf9fd2ee92e,37,603,6D,BLACK,NOT HISPANIC,MALE,Simple Assault,Threats To Do Bodily Harm -misd,603,6D,404200,135100,38.884,-76.951,603,6D,404200,135100,38.884,-76.951
Adult,2024,1/2/2024,19,29dc007b2bf2dfb1f3b935d93b55eb57d77c8ef2,99bf5a857d91955deabdcb722406e1da32158ace,37,407,4D,BLACK,UNKNOWN,FEMALE,Simple Assault,Simple Assault,407,4D,398200,142300,38.948,-77.02,407,4D,398200,142300,38.948,-77.02
Adult,2024,1/2/2024,20,87253ab8a2bdab6f91e9f72b31e60227df2a78db,e377d3ebe6a52653dbcd8f9997b6e064c0ca29ad,36,401,4D,BLACK,NOT HISPANIC,MALE,Release Violations,Bench Warrant,704,7D,402400,131000,38.847,-76.972,704,7D,402400,131000,38.847,-76.972
Adult,2024,1/2/2024,0,d030907b01a0bbb93388e40992e6093f3f9ac245,58780a01b4eae7cd7b150dab10b07cdff9765f1a,35,408,4D,BLACK,NOT HISPANIC,MALE,Traffic Violations,Fail To Obey Officer,208,2D,396700,138000,38.91,-77.038,208,2D,396700,138000,38.91,-77.038
Adult,2024,1/2/2024,19,231f37f49d338bc4076e2153c8a60df68a98f320,0b4f5804a3350fc9d15b6096709e27043d952a97,35,104,1D,BLACK,NOT HISPANIC,FEMALE,Other Crimes,Unlawful Entry,603,6D,404900,135100,38.883,-76.943,603,6D,404900,135100,38.883,-76.943
Adult,2024,1/2/2024,21,50e4b29b9014d26074564704d6ac32c00ad1f3ed,af5cfe99929b668d2ee476cd1a67ae2c1f28db92,35,605,6D,BLACK,NOT HISPANIC,MALE,Damage to Property,Destruction Of Property - Misd,702,7D,402800,132200,38.857,-76.968,702,7D,402800,132200,38.857,-76.968
Adult,2024,1/2/2024,20,013dc938e6abaa5cfc6ea2bc2b0b16e8028008e7,8247569b7985eeee573d88e42a4a7cb4d38f170d,33,708,7D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,708,7D,399100,128100,38.82,-77.011,708,7D,399100,128100,38.82,-77.011
Adult,2024,1/2/2024,21,ce1cb3539e37168b2b150d7fd9bc19163f672c59,e61ad1a63f21e7cd29c4309032ecb89ec74908fd,33,,,BLACK,UNKNOWN,MALE,Release Violations,Fugitive From Justice,206,2D,393500,138200,38.912,-77.075,208,2D,395900,138700,38.916,-77.047
Adult,2024,1/2/2024,8,911f8a8743eabd9ee4f9bd5159f71f78d8e30604,6f9ae6d23dffe8596709a1020fc776d2ef232781,32,,,BLACK,NOT HISPANIC,FEMALE,Other Crimes,Unlawful Entry,503,5D,402300,138600,38.915,-76.974,604,6D,406200,134700,38.88,-76.928
Adult,2024,1/2/2024,3,a637bf209905fcbedcf5705ceda26d288571b35a,83b2c6c905abbdcbadddc2ab5290b0898737e20a,32,,,BLACK,UNKNOWN,FEMALE,Driving/Boating While Intoxicated,Driving Under The Influence Of Alcohol Or Drugs,,,399200,138800,38.917,-77.009,502,5D,399200,138800,38.917,-77.009
Adult,2024,1/2/2024,17,b6a91907cc618beb65c46a5d290270c7c507ee5f,977eb51121f1534a119208ebb38118bcd54afaa9,31,203,2D,BLACK,NOT HISPANIC,MALE,Traffic Violations,Counterfeit Tags,308,3D,399100,138400,38.914,-77.01,308,3D,399100,138400,38.914,-77.01
Adult,2024,1/2/2024,15,eabdc3f9dc3e8e6ae0646b46be2358c42b0085d6,11afa9b26174bf38705b625dc14dceabe17bb76f,30,,,WHITE,HISPANIC,MALE,Traffic Violations,Counterfeit Tags,101,1D,,,38.903,-77.02,101,1D,,,38.903,-77.02
Adult,2024,1/2/2024,1,b93b2e406b83ee704eaebb7a4e6a202828add0f4,5c49f9efa4e023e5f1274dcfcdbc4374f1c1ce28,30,,,BLACK,NOT HISPANIC,FEMALE,Theft,Theft Second Degree (all Other Larceny),305,3D,397900,138700,38.916,-77.024,305,3D,397900,138700,38.916,-77.024
Adult,2024,1/2/2024,18,f73e4dcd987b78620b9f0c124553289ed9f12cb9,45ce324edc3779c4dadab792d6d49df80d1a2f82,29,,,WHITE,HISPANIC,MALE,Property Crimes,Receiving Stolen Property,402,4D,397600,144200,38.965,-77.027,402,4D,397600,144200,38.965,-77.027
Adult,2024,1/2/2024,17,f2bf72310b3ae920a2ca63d72b0bb3fca5c97af1,30936792e2fed2dc4efa413ea0ae6ccfb7c6df2b,28,,,BLACK,UNKNOWN,MALE,Weapon Violations,Felon In Possession,506,5D,401000,137600,38.906,-76.988,506,5D,401000,137600,38.906,-76.988
Adult,2024,1/2/2024,15,9f1cb6d19760ca79bd7ca41ad9af530029b38c45,c9ab8d16b0928b7fcbb97d1a451b9f87cd46b493,27,502,5D,BLACK,UNKNOWN,FEMALE,Simple Assault,Threat To Kidnap Or Injure A Person,503,5D,402300,138600,38.915,-76.974,502,5D,399300,138700,38.916,-77.008
Adult,2024,1/2/2024,18,9d8913d83fad81bc207f1878380e68616947fd25,58e4636ea78485e8dffe3f0fc8fee5b32c7d4c79,26,708,7D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,302,3D,397700,140300,38.931,-77.027,302,3D,397700,140300,38.931,-77.027
Adult,2024,1/2/2024,16,154f47a3d3ddc1f959a08f866098e8df08465cca,74310c0c98ced51f2503b165f9a0b989af204bc8,25,606,6D,BLACK,NOT HISPANIC,MALE,Release Violations,Bench Warrant,101,1D,398500,136900,38.9,-77.017,101,1D,398500,136900,38.9,-77.017
Adult,2024,1/2/2024,17,abfa77873228c97b38856041084c896d870a2413,c606351e40ad3a6ab602314462213d1cd73319a6,25,507,5D,BLACK,NOT HISPANIC,MALE,Narcotics,Poss W/i To Dist Marijuana-fel,601,6D,405500,138300,38.912,-76.936,601,6D,405500,138300,38.912,-76.936
Adult,2024,1/2/2024,11,be22b46be7b218cbe744a4c745621c103eb72858,2547269d6024faecbf1c888cc03b247c42fce777,25,601,6D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,601,6D,404400,137300,38.903,-76.949,601,6D,404400,137300,38.903,-76.949
Adult,2024,1/2/2024,16,709dd93c50f89520129dfd2c1d3248b2ae06c3ac,3703139459b51e06e44ce0a734bd605cb285f143,24,608,6D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carry Pistol W/o Lic -outside Home/business,608,6D,407100,136400,38.896,-76.919,608,6D,407100,136400,38.896,-76.919
