Arrestee Type,Arrest Year,Arrest Date,Arrest Hour,CCN,Arrest Number#,Age,Defendant PSA,Defendant District,Defendant Race,Defendant Ethnicity,Defendant Sex,Arrest Category,Charge Description,Arrest Location PSA,Arrest Location District,Arrest Block GEOX,Arrest Block GEOY,Arrest Latitude,Arrest Longitude,Offense Location PSA,Offense Location District,Offense Block GEOX,Offense Block GEOY,Offense Latitude,Offense Longitude
Adult,2024,4/8/2024,0,e055641f98feac746b7407e91727fa7ef16ed932,512bd8fbe340646471e55cb74b18ee761b07edd0,29,708,7D,BLACK,NOT HISPANIC,FEMALE,Other Crimes,Unlawful Entry,207,2D,395800,136600,38.897,-77.048,207,2D,395800,136600,38.897,-77.048
Adult,2024,4/8/2024,1,0c8c143af0a7826f91ea512106e0486cdc442130,bfb6d338502de9fea841bbcb5ac067d4e39a5b71,28,603,6D,BLACK,NOT HISPANIC,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,107,1D,401600,134600,38.879,-76.982,107,1D,401600,134600,38.879,-76.982
Adult,2024,4/8/2024,4,0852f337b65b3e4493a970c851b8757a3aa58e6c,bde74fc4c9191f8cd3394513dde6b652c6f1fb6d,28,706,7D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,604,6D,406200,135400,38.886,-76.928,708,7D,399300,128500,38.824,-77.008
Adult,2024,4/8/2024,16,af34fd609d8642ef65decd192aa5a3df3305f46a,ccba3ede2a7a345ca3c9189b459f616a88b823f4,28,,,BLACK,NOT HISPANIC,MALE,Narcotics,Consumption of marijuana in public space prohibited,506,5D,401400,137100,38.902,-76.984,506,5D,401400,137100,38.902,-76.984
Adult,2024,4/8/2024,19,74c4639d369f70d513a6127b529d69292219c479,0f6cc5bcc79dfc89269abf1eff7e605f927984bf,26,706,7D,BLACK,NOT HISPANIC,MALE,Release Violations,Contempt - Condition Of Release Violation,101,1D,398100,136800,38.899,-77.022,101,1D,398100,136800,38.899,-77.022
Adult,2024,4/8/2024,16,b149444f7f691855f1c285932ff199c33d221022,6bd631f9ded900323ea134acae34b85f0dfc6ad3,26,,,BLACK,NOT HISPANIC,MALE,Release Violations,Bench Warrant,409,4D,398000,140000,38.928,-77.023,409,4D,398000,140000,38.928,-77.023
Adult,2024,4/8/2024,15,91b4d94a6c7448eb50b5b9e31c75fa1e970c5702,942b9976bf248d15bcebdea9e208aa50c1212a75,25,,,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,403,4D,397200,143000,38.955,-77.032,403,4D,397200,143000,38.955,-77.032
Adult,2024,4/8/2024,15,ac1b4f3d27aebeb0ed84986b12a6b520778232f4,00e744165c8be2697cc0cc617d6dbfa3ecc2a13c,25,707,7D,BLACK,NOT HISPANIC,MALE,Traffic Violations,Speeding and reckless driving,707,7D,399900,130500,38.842,-77.002,707,7D,399700,130200,38.84,-77.004
Adult,2024,4/8/2024,19,9b49b56a64360620b1e163147c573c5907246003,585009a6b0e108893267b78235ca47518f2955df,25,,,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carry Pistol W/o Lic -outside Home/business,104,1D,399900,136900,38.9,-77.001,104,1D,399900,136900,38.9,-77.001
Adult,2024,4/8/2024,11,f779505456dabd4e75fc68291c935f86101dfc7f,de1c1e81d1d6a8441c5b7dc21136eb0f2380abc5,24,603,6D,BLACK,NOT HISPANIC,MALE,Other Crimes,Unlawful Entry,305,3D,397800,139100,38.92,-77.025,305,3D,397800,139100,38.92,-77.025
